service_type_raw,nn,column_name,column_index,total_rows,non_null_count,non_empty_count,effective_filled_count,fill_rate,effective_fill_rate,notes
居宅介護,11,都道府県コード又は市区町村コード,0,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,NO（※システム内の固有の番号、連番）,1,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,指定機関名,2,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,法人の名称,3,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,法人の名称_かな,4,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,法人番号,5,24812,24812,22611,22611,91.13,91.13,
居宅介護,11,法人住所（市区町村）,6,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,法人住所（番地以降）,7,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,法人電話番号,8,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,法人FAX番号,9,24812,24812,23387,23385,94.26,94.25,
居宅介護,11,法人URL,10,24812,24812,14358,14358,57.87,57.87,
居宅介護,11,サービス種別,11,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,事業所の名称,12,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,事業所の名称_かな,13,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,事業所番号,14,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,事業所住所（市区町村）,15,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,事業所住所（番地以降）,16,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,事業所電話番号,17,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,事業所FAX番号,18,24812,24812,23913,23913,96.38,96.38,
居宅介護,11,事業所URL,19,24812,24812,9954,9954,40.12,40.12,欠損多い
居宅介護,11,事業所緯度,20,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,事業所経度,21,24812,24812,24812,24812,100.0,100.0,
居宅介護,11,利用可能な時間帯（平日）,22,24812,24812,18954,18954,76.39,76.39,
居宅介護,11,利用可能な時間帯（土曜）,23,24812,24812,16396,16396,66.08,66.08,
居宅介護,11,利用可能な時間帯（日曜）,24,24812,24812,14095,14095,56.81,56.81,
居宅介護,11,利用可能な時間帯（祝日）,25,24812,24812,15793,15793,63.65,63.65,
居宅介護,11,定休日,26,24812,24812,18577,16649,74.87,67.1,
居宅介護,11,利用可能曜日特記事項（留意事項）,27,24812,24812,9618,9050,38.76,36.47,欠損多い
居宅介護,11,定員,28,24812,24812,0,0,0.0,0.0,ほぼ空
重度訪問介護,12,都道府県コード又は市区町村コード,0,20803,20803,20803,20803,100.0,100.0,
重度訪問介護,12,NO（※システム内の固有の番号、連番）,1,20803,20803,20803,20803,100.0,100.0,
重度訪問介護,12,指定機関名,2,20803,20803,20803,20803,100.0,100.0,
重度訪問介護,12,法人の名称,3,20803,20803,20803,20803,100.0,100.0,
重度訪問介護,12,法人の名称_かな,4,20803,20803,20803,20803,100.0,100.0,
重度訪問介護,12,法人番号,5,20803,20803,18925,18925,90.97,90.97,
重度訪問介護,12,法人住所（市区町村）,6,20803,20803,20803,20803,100.0,100.0,
重度訪問介護,12,法人住所（番地以降）,7,20803,20803,20803,20803,100.0,100.0,
重度訪問介護,12,法人電話番号,8,20803,20803,20803,20803,100.0,100.0,
