service_type_raw,nn,file_name,record_count,unique_office_number_count,unique_corporate_number_count,lat_lng_valid_count,lat_lng_valid_pct,tel_present_count,tel_present_pct,url_present_count,url_present_pct,capacity_filled_count,capacity_filled_pct,pref_count,duplicate_office_codes
居宅介護,11,csvdownload011.csv,24812,24749,16466,24812,100.0,24809,100.0,9954,40.1,0,0.0,47,63
重度訪問介護,12,csvdownload012.csv,20803,20749,14056,20803,100.0,20801,100.0,7506,36.1,0,0.0,47,54
行動援護,13,csvdownload013.csv,3019,3004,2642,3019,100.0,3018,100.0,1342,44.5,0,0.0,47,15
重度障害者等包括支援,14,csvdownload014.csv,19,19,19,19,100.0,19,100.0,10,52.6,0,0.0,12,0
同行援護,15,csvdownload015.csv,7640,7620,5664,7640,100.0,7634,99.9,2880,37.7,0,0.0,47,20
療養介護,21,csvdownload021.csv,267,266,118,267,100.0,267,100.0,226,84.6,237,88.8,47,1
生活介護,22,csvdownload022.csv,13049,12670,7388,13049,100.0,13044,100.0,8956,68.6,11640,89.2,47,379
施設入所支援,32,csvdownload032.csv,2554,2554,1691,2554,100.0,2553,100.0,2183,85.5,2419,94.7,47,0
共同生活援助,33,csvdownload033.csv,15537,14508,10115,15537,100.0,15526,99.9,7434,47.8,0,0.0,47,1029
自立訓練（機能訓練）,41,csvdownload041.csv,285,285,209,285,100.0,285,100.0,172,60.4,222,77.9,46,0
自立訓練（生活訓練）,42,csvdownload042.csv,1626,1622,1243,1626,100.0,1626,100.0,1063,65.4,1381,84.9,47,4
就労継続支援A型,45,csvdownload045.csv,4633,4542,3461,4633,100.0,4632,100.0,3012,65.0,4067,87.8,47,91
就労継続支援B型,46,csvdownload046.csv,19909,19086,13683,19909,100.0,19899,99.9,11784,59.2,17170,86.2,47,823
計画相談支援,52,csvdownload052.csv,12796,12755,10520,12796,100.0,12784,99.9,6578,51.4,0,0.0,47,41
地域相談支援（地域移行支援）,53,csvdownload053.csv,3707,3697,3182,3707,100.0,3705,99.9,2071,55.9,0,0.0,47,10
地域相談支援（地域定着支援）,54,csvdownload054.csv,3569,3559,3082,3569,100.0,3566,99.9,1969,55.2,0,0.0,47,10
就労移行支援,60,csvdownload060.csv,3389,3353,2095,3389,100.0,3388,100.0,2616,77.2,2905,85.7,47,36
自立生活援助,61,csvdownload061.csv,502,502,445,502,100.0,500,99.6,251,50.0,0,0.0,47,0
就労定着支援,62,csvdownload062.csv,1935,1929,1137,1935,100.0,1935,100.0,1313,67.9,0,0.0,47,6
児童発達支援,63,csvdownload063.csv,16247,16132,8807,16247,100.0,16242,100.0,11212,69.0,13342,82.1,47,115
医療型児童発達支援,64,csvdownload064.csv,39,39,28,39,100.0,39,100.0,31,79.5,36,92.3,21,0
放課後等デイサービス,65,csvdownload065.csv,24156,23968,12286,24156,100.0,24143,99.9,16285,67.4,20018,82.9,47,188
居宅訪問型児童発達支援,66,csvdownload066.csv,346,346,286,346,100.0,346,100.0,223,64.5,0,0.0,45,0
保育所等訪問支援,67,csvdownload067.csv,3711,3704,2418,3711,100.0,3711,100.0,2386,64.3,0,0.0,47,7
福祉型障害児入所施設,68,csvdownload068.csv,243,240,217,243,100.0,243,100.0,193,79.4,234,96.3,47,3
医療型障害児入所施設,69,csvdownload069.csv,227,223,128,227,100.0,227,100.0,190,83.7,193,85.0,47,4
障害児相談支援,70,csvdownload070.csv,9509,9463,7891,9509,100.0,9496,99.9,4716,49.6,0,0.0,47,46
